line_no,N,M_stored,M_pari,K_stored,K_pari,U_stored,U_pari,Q_stored,Q_pari,R_stored,R_pari,irreducible,max_off_circle,ok_irr,ok_M,ok_KUQR
93,20,1.269331428837145173575665914542391218394390252045723216079667892371326564,1.26933142883714517357566591454239121839439025204572321607967,2,2,16,16,4,4,0,0,1,0.126646097422409382561077752558335219908613152213737272398804,1,1,1
94,20,1.271841655431393214911018831248454973819949959266648394333889472691315824,1.27184165543139321491101883124845497381994995926664839433389,2,2,16,16,4,4,0,0,1,0.127759573415980013914712058610018527379659525710276180420214,1,1,1
95,20,1.274612798280052202750134691086787800908693397009010773911840048618873366,1.27461279828005220275013469108678780090869339700901077391184,2,2,16,16,4,4,0,0,1,0.128987510240946909453444386604251039496305409442820976694303,1,1,1
96,20,1.280386221565918158090989011991755674845716732987068450545678313950197240,1.28038622156591815809098901199175567484571673298706845054568,2,2,16,16,4,4,0,0,1,0.131541524454987978807914675843590279359376580249678544228900,1,1,1
97,20,1.282495560639960169561207128806572472485581139082169212292401024502310661,1.28249556063996016956120712880657247248558113908216921229240,1,1,18,18,0,0,2,2,1,0.282495560639960169561207128806572472485581139082169212292401,1,1,1
98,20,1.284487312195846790444348204554079799859554177761411853421246229699540795,1.28448731219584679044434820455407979985955417776141185342125,3,3,14,14,4,4,2,2,1,0.101485095243982778868842176041651859140995440185181415417786,1,1,1
99,20,1.284541307233789182392781641096324470733097962793480832391536863159368018,1.28454130723378918239278164109632447073309796279348083239154,2,2,16,16,4,4,0,0,1,0.133376066111239699665762736476647715122872868569113718375384,1,1,1
100,20,1.287881336401430086042912359173409566867986565428748332375589500372117099,1.28788133640143008604291235917340956686798656542874833237559,2,2,16,16,4,4,0,0,1,0.134848596245961827837700007349767734389002435335879765566474,1,1,1
101,20,1.287884568067226862465661210188205627259998878225458639334605414833345315,1.28788456806722686246566121018820562725999887822545863933461,2,2,16,16,4,4,0,0,1,0.134850020076321302113488207468995457098269068698294955549029,1,1,1
102,20,1.288359664536759024576794614732156127984098180382635168047693564322383217,1.28835966453675902457679461473215612798409818038263516804769,4,4,12,12,8,8,0,0,1,0.0655463921189151041950566235700579164215346745899418140967861,1,1,1
103,20,1.289289736514470113544217603972296208030925403086182008871749907764665041,1.28928973651447011354421760397229620803092540308618200887175,2,2,16,16,0,0,4,4,1,0.173244966157617197841943335757633278210509493707460626831300,1,1,1
104,20,1.289462523106116644242161759602708782696989556463611973290805527612594159,1.28946252310611664424216175960270878269698955646361197329081,2,2,16,16,4,4,0,0,1,0.135545033499824102965512960725278906942753842511286381871103,1,1,1
105,20,1.292039106017929461943480560567260344484221751942270774576911401536994670,1.29203910601792946194348056056726034448422175194227077457691,1,1,18,18,0,0,2,2,1,0.292039106017929461943480560567260344484221751942270774576911,1,1,1
106,20,1.292503334263771468605969661287781817428831138776958568096782006227025150,1.29250333426377146860596966128778181742883113877695856809678,4,4,12,12,8,8,0,0,1,0.0859971514243796110902806477868696146336124671170238410197984,1,1,1
107,20,1.293993740439895771126446855961175596198382689040699497105788470288144752,1.29399374043989577112644685596117559619838268904069949710579,4,4,12,12,8,8,0,0,1,0.100774967049183008132001469651457251967277102219683826206165,1,1,1
108,20,1.296754236841528019703497631713290093224523194565437691599695229133257907,1.29675423684152801970349763171329009322452319456543769159970,4,4,12,12,8,8,0,0,1,0.0997271136011835503667693158636707824382308431271641594000103,1,1,1
109,20,1.297584816016966425823247642898276200329530155271216772010289020974222509,1.29758481601696642582324764289827620032953015527121677201029,3,3,14,14,4,4,2,2,1,0.178380719625243854087068535951971591332789101174993266034379,1,1,1
110,20,1.298272824287788716429456156492474325553813437155808478023117088555238244,1.29827282428778871642945615649247432555381343715580847802312,4,4,12,12,8,8,0,0,1,0.0809325471413360570188526598864479468371665742358219141214438,1,1,1
113,22,1.205019854225084123947342313098543353956363689961900444354279106047854254,1.20501985422508412394734231309854335395636368996190044435428,2,2,18,18,4,4,0,0,1,0.0977339633194757466228078981365828442645717721389934418507974,1,1,1
114,22,1.229566456617135225897919955837081773746577696467096808406142720034120202,1.22956645661713522589791995583708177374657769646709680840614,3,3,16,16,4,4,2,2,1,0.137750036650181650606420241365145263200129211042083256043704,1,1,1
115,22,1.235664580389747308105169351531263479723510042746239077650438077206311925,1.23566458038974730810516935153126347972351004274623907765044,1,1,20,20,0,0,2,2,1,0.235664580389747308105169351531263479723510042746239077650438,1,1,1
116,22,1.244802445450435917096338878691580483775459616932051388291344700930061229,1.24480244545043591709633887869158048377545961693205138829134,2,2,18,18,4,4,0,0,1,0.115707150398542492506883531380963708988451739626825128839206,1,1,1
117,22,1.245181138297535425622120350180451020856237705738313216599620597978293902,1.24518113829753542562212035018045102085623770573831321659962,3,3,16,16,4,4,2,2,1,0.0837668482751699869154910583587837973103132541257478218458164,1,1,1
118,22,1.245602317112143109511075661700503014691240814400732054544461383495027241,1.24560231711214310951107566170050301469124081440073205454446,2,2,18,18,4,4,0,0,1,0.116065552336484897348508779866393781400352760894502147481951,1,1,1
119,22,1.248611165685929307492458380845628864265331988405805542068301351100397710,1.24861116568592930749245838084562886426533198840580554206830,3,3,16,16,4,4,2,2,1,0.0854102542681002609811508594931012134905273464488945952921287,1,1,1
120,22,1.250461871099253599707194815712535445207943255182114744494276781255238927,1.25046187109925359970719481571253544520794325518211474449428,3,3,16,16,4,4,2,2,1,0.167445581818481392470766205209008419316721830768421630564700,1,1,1
121,22,1.252721020129526258776261673113426176386227529575042922456097523751250607,1.25272102012952625877626167311342617638622752957504292245610,2,2,18,18,4,4,0,0,1,0.119250204435775950319309030135646633477133228967129390963936,1,1,1
122,22,1.254142519161843162217518443323946267877355456544726450011218693032808732,1.25414251916184316221751844332394626787735545654472645001122,3,3,16,16,4,4,2,2,1,0.150828398658242283889825951826574716064423162734247142179107,1,1,1
123,22,1.257259068490969990453411018829828258185235445642944882030313427227529966,1.25725906849096999045341101882982825818523544564294488203031,3,3,16,16,4,4,2,2,1,0.0896521940737551132990305164902530652113164948826297870074493,1,1,1
