N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
174,1.30994655907498991138129848106947079744834049087068011168833083890965634696322116726315996490145598937649613889067470346,5.451252e-02,3.975207e-04,28,118,56,0
176,1.30806238420229250748524319101296264649314015639205248649648176657236917568457061294779599473187756619349017679304386225,5.262835e-02,1.884175e-03,25,126,48,2
178,1.30826427757058805864079366220527578166906185382395741795420675152445651031875483945055305337789803492686257742827978437,5.283024e-02,2.018934e-04,26,126,52,0
180,1.31010233506974042045610936677712517078212611091805770418073449600665165167798057111765580088262946481828144046922949667,5.466830e-02,1.838057e-03,27,126,52,2
182,1.31240474869533951534931540481817537964316629066921540572254033804248588115077255825031507882275110398989438299100519357,5.697071e-02,2.302414e-03,28,126,56,0
184,1.30475835151642403422639041757296528438658307937544299612901176450955812563094594802423070497920652322485431323282717902,4.932431e-02,7.646397e-03,27,130,52,2
186,1.31181998275517697089836539845221841531172485443070319696283263627947378425408243807803753951238868541019709892803002410,5.638595e-02,7.061631e-03,28,130,56,0
188,1.30576534645767198156457249979762309763778326776530187379251687985076465027786266523484073590554411252692891354346583907,5.033131e-02,6.054636e-03,27,134,52,2
190,1.30999038097806433782642594151686369964734319547931307571483397305922216200738119411880676350927150823764981936300797369,5.455634e-02,4.225035e-03,28,134,56,0
192,1.30493888368203617088739510728156843386914394532483662574592815378440693280720584324638769839877020681186151624499759697,4.950485e-02,5.051497e-03,29,134,56,2
194,1.30931645607772246856843366481745745363691510646609353176074230482604805401610428707961421082001092978011454424717030556,5.388242e-02,4.377572e-03,28,138,56,0
196,1.30794762303447890562721898678856940791377123047433728072525919005650020293420558103918860052107495792861272267141861852,5.251359e-02,1.368833e-03,29,138,56,2
198,1.31080304766723102514213528402762541973453142289759498002927116233398522654927920872878044813260059137805276278149034985,5.536901e-02,2.855425e-03,30,138,60,0
200,1.31150281786867631397651057730030982067723869175914450968832699604872274815524461953327895352531357719388714687539218763,5.606878e-02,6.997702e-04,31,138,60,2
202,1.30511436940143536458870541238897389296284116415840657391161299900435660706354498178343838847755322492449665301765030167,4.968033e-02,6.388448e-03,28,146,56,0
204,1.31195721657123224703787630137314861627775707296892548736805147262046586683293428604898113912456794604959918140288319179,5.652318e-02,6.842847e-03,31,142,60,2
206,1.30725097558124744441517094229325765800250299635480231441558466928041855173260044198648102454932016188578292447312839624,5.181694e-02,4.706241e-03,30,146,60,0
208,1.31006162643146558879904374241058521757484737224381065946202986833592047661078577997972623062048858856301689471698572191,5.462759e-02,2.810651e-03,31,146,60,2
210,1.30460655059017162462189314393260949716052655928993540097147748636037268508347792413827101877384941689550148387663428783,4.917251e-02,5.455076e-03,30,150,60,0
212,1.31013592447799268714959294066324049679153678261417145259792684923594696601707601183250138661308560843194473551045767757,5.470189e-02,5.529374e-03,31,150,60,2
214,1.30698891435507028944734864880671096019364778383948810331010082636882771563663569191483225903191671528595199237876160094,5.155488e-02,3.147010e-03,32,150,64,0
