m,deg_Pm,Pm_irreducible,n_factors,M_Pm,deg_smallest_factor,M_smallest_factor,factor_in_database
447,448,1,1,1.25557727147781248195795457658,448,1.25557727147781248195795457658,True
449,450,1,1,1.25574946385291178027869064481,450,1.25574946385291178027869064481,True
451,452,1,1,1.25527848010078256999613871124,452,1.25527848010078256999613871124,True
453,454,0,2,1.25587756315053818859831425982,450,1.25587756315053818859831425982,True
455,456,1,1,1.25491475757884793378650237305,456,1.25491475757884793378650237305,True
457,458,1,1,1.25581411296643258466642734069,458,1.25581411296643258466642734069,False
459,460,0,2,1.25449788618053079367307960385,456,1.25449788618053079367307960385,False
461,462,1,1,1.25563317824236676230111374765,462,1.25563317824236676230111374765,False
463,464,1,1,1.25564960984678567238054453321,464,1.25564960984678567238054453321,False
465,466,1,1,1.25536768468732048970207659717,466,1.25536768468732048970207659717,False
467,468,1,1,1.25584657186727565189370961369,468,1.25584657186727565189370961369,False
469,470,1,1,1.25503643106481115510573760400,470,1.25503643106481115510573760400,False
471,472,1,1,1.25582470262896004454646459278,472,1.25582470262896004454646459278,False
473,474,0,2,1.25465170869190323397755708425,466,1.25465170869190323397755708425,False
475,476,1,1,1.25567811842166321565658053606,476,1.25567811842166321565658053606,False
477,478,0,2,1.25552209121525916910608013978,474,1.25552209121525916910608013978,False
479,480,1,1,1.25544434372345149729341621711,480,1.25544434372345149729341621711,False
481,482,1,1,1.25580449448400276521239215488,482,1.25580449448400276521239215488,False
483,484,0,2,1.25514374065630087930088110951,480,1.25514374065630087930088110951,False
485,486,1,1,1.25582587739759683882957060655,486,1.25582587739759683882957060655,False
487,488,0,2,1.25478923172183169738003789610,480,1.25478923172183169738003789610,False
489,490,1,1,1.25571303174705233860237805541,490,1.25571303174705233860237805541,False
491,492,1,1,1.25534794180813403090256423062,492,1.25534794180813403090256423062,False
493,494,1,1,1.25550967302867647010563213896,494,1.25550967302867647010563213896,False
495,496,1,1,1.25575019109799944628851445329,496,1.25575019109799944628851445329,False
497,498,1,1,1.25523813491726230604974935693,498,1.25523813491726230604974935693,False
499,500,1,1,1.25581794452663396583674524914,500,1.25581794452663396583674524914,False
501,502,0,2,1.25491211812421963181959519973,498,1.25491211812421963181959519973,False
503,504,1,1,1.25573868241026238670262978864,504,1.25573868241026238670262978864,False
505,506,1,1,1.25505602460209553836380825037,506,1.25505602460209553836380825037,False
507,508,0,2,1.25556470723893337204447895729,504,1.25556470723893337204447895729,False
509,510,1,1,1.25568149987764318716348291299,510,1.25568149987764318716348291299,False
511,512,1,1,1.25532086399586404254251116904,512,1.25532086399586404254251116904,False
513,514,1,1,1.25580096677010105129840358458,514,1.25580096677010105129840358458,False
515,516,1,1,1.25502181194519736977210299371,516,1.25502181194519736977210299371,False
517,518,1,1,1.25575567262298851884731204488,518,1.25575567262298851884731204488,False
519,520,1,1,1.25467732766764468978557493783,520,1.25467732766764468978557493783,False
521,522,1,1,1.25561032297452023571070366787,522,1.25561032297452023571070366787,False
523,524,1,1,1.25559437110699613335264761985,524,1.25559437110699613335264761985,False
525,526,0,2,1.25539300775570703223867360459,522,1.25539300775570703223867360459,False
527,528,1,1,1.25577471051598672267770855949,528,1.25577471051598672267770855949,False
529,530,1,1,1.25511957028648958102077312965,530,1.25511957028648958102077312965,False
531,532,0,2,1.25576444867579450846620587382,528,1.25576444867579450846620587382,False
533,534,0,2,1.25480029301324018515840003589,526,1.25480029301324018515840003589,False
535,536,1,1,1.25564725671744847848685370557,536,1.25564725671744847848685370557,False
537,538,1,1,1.25548057542189200824066360212,538,1.25548057542189200824066360212,False
539,540,1,1,1.25545549865251579671040260804,540,1.25545549865251579671040260804,False
541,542,1,1,1.25573854460619449552246419021,542,1.25573854460619449552246419021,False
543,544,1,1,1.25520648956824589216072516971,544,1.25520648956824589216072516971,False
545,546,1,1,1.25576529834654667735312576842,546,1.25576529834654667735312576842,False
547,548,0,2,1.25491112626734168099593849871,540,1.25491112626734168099593849871,False
549,550,0,2,1.25567611794957226303071049227,546,1.25567611794957226303071049227,False
551,552,1,1,1.25531951116644159368725934746,552,1.25531951116644159368725934746,False
553,554,1,1,1.25550914024578406260937086778,554,1.25550914024578406260937086778,False
555,556,0,2,1.25569124421321316514931204244,552,1.25569124421321316514931204244,False
557,558,1,1,1.25528352722200587708040186865,558,1.25528352722200587708040186865,False
559,560,1,1,1.25575833700395826022028588844,560,1.25575833700395826022028588844,False
561,562,1,1,1.25501092237398880629956534097,562,1.25501092237398880629956534097,False
563,564,1,1,1.25569739775806834324925668046,564,1.25569739775806834324925668046,False
565,566,1,1,1.25501314576217746370565911750,566,1.25501314576217746370565911750,False
567,568,1,1,1.25555462200092634955132944134,568,1.25555462200092634955132944134,False
569,570,1,1,1.25563058845964855556798229119,570,1.25563058845964855556798229119,False
571,572,1,1,1.25535151961550774869340944414,572,1.25535151961550774869340944414,False
573,574,0,2,1.25574347708211963024585357295,570,1.25574347708211963024585357295,False
575,576,1,1,1.25510064496213449489103889151,576,1.25510064496213449489103889151,False
577,578,1,1,1.25571147271454319116394226524,578,1.25571147271454319116394226524,False
579,580,0,2,1.25481031406380488153418401841,576,1.25481031406380488153418401841,False
581,582,1,1,1.25559253083686351687581973606,582,1.25559253083686351687581973606,False
583,584,1,1,1.25555243696061627581084633395,584,1.25555243696061627581084633395,False
585,586,1,1,1.25541119683015799018110182116,586,1.25541119683015799018110182116,False
587,588,1,1,1.25572037036737972619551483567,588,1.25572037036737972619551483567,False
589,590,1,1,1.25518114324015734201605972047,590,1.25518114324015734201605972047,False
591,592,1,1,1.25571860329195755242312191146,592,1.25571860329195755242312191146,False
593,594,0,2,1.25491117606972288589481609816,586,1.25491117606972288589481609816,False
595,596,1,1,1.25562335968694829590873091514,596,1.25562335968694829590873091514,False
597,598,0,2,1.25544816802601920921558776713,594,1.25544816802601920921558776713,False
599,600,1,1,1.25546319476533750351666131642,600,1.25546319476533750351666131642,False
601,602,1,1,1.25568830126798262675132682814,602,1.25568830126798262675132682814,False
603,604,0,2,1.25525316614127090449497061265,600,1.25525316614127090449497061265,False
605,606,1,1,1.25571892524559173277729068169,606,1.25571892524559173277729068169,False
607,608,0,2,1.25500266870311790455331301422,600,1.25500266870311790455331301422,False
609,610,1,1,1.25564751314569556139920274440,610,1.25564751314569556139920274440,False
611,612,1,1,1.25529454785526640278467431059,612,1.25529454785526640278467431059,False
613,614,1,1,1.25550806492014505481460880133,614,1.25550806492014505481460880133,False
615,616,1,1,1.25564598232107214823776820790,616,1.25564598232107214823776820790,False
617,618,1,1,1.25531737415807495244156303145,618,1.25531737415807495244156303145,False
619,620,1,1,1.25571243094652280035569053376,620,1.25571243094652280035569053376,False
621,622,0,2,1.25508554639218039914970361405,618,1.25508554639218039914970361405,False
623,624,1,1,1.25566531004026896473687649379,624,1.25566531004026896473687649379,False
625,626,1,1,1.25489358824929445251164314982,626,1.25489358824929445251164314982,False
627,628,0,2,1.25554628209276473853103047276,624,1.25554628209276473853103047276,False
629,630,1,1,1.25559113006563565325263268147,630,1.25559113006563565325263268147,False
631,632,1,1,1.25537434920964511448505514858,632,1.25537434920964511448505514858,False
633,634,1,1,1.25569893496857547423559039009,634,1.25569893496857547423559039009,False
635,636,1,1,1.25516047986054006822825263899,636,1.25516047986054006822825263899,False
637,638,1,1,1.25567698244749361126474347746,638,1.25567698244749361126474347746,False
639,640,1,1,1.25491188901175364720109569780,640,1.25491188901175364720109569780,False
641,642,1,1,1.25557825013036492681181212491,642,1.25557825013036492681181212491,False
643,644,1,1,1.25551946249281690824474483409,644,1.25551946249281690824474483409,False
645,646,0,2,1.25542460280524311905397917289,642,1.25542460280524311905397917289,False
647,648,1,1,1.25567801278554715897622152782,648,1.25567801278554715897622152782,False
649,650,1,1,1.25522806565429287264544921501,650,1.25522806565429287264544921501,False
651,652,0,2,1.25568267019249086369553986634,648,1.25568267019249086369553986634,False
653,654,0,2,1.25499632340256873995314726964,646,1.25499632340256873995314726964,False
655,656,1,1,1.25560430574635708555809404922,656,1.25560430574635708555809404922,False
657,658,1,1,1.25542175679186537930651079413,658,1.25542175679186537930651079413,False
659,660,1,1,1.25546858269957687785384039067,660,1.25546858269957687785384039067,False
661,662,1,1,1.25564888940473999311344120773,662,1.25564888940473999311344120773,False
663,664,1,1,1.25528883419582536926756867853,664,1.25528883419582536926756867853,False
665,666,1,1,1.25568240905800047932736940503,666,1.25568240905800047932736940503,False
667,668,0,2,1.25507330650377337630132855890,660,1.25507330650377337630132855890,False
669,670,0,2,1.25562472028035232091380000070,666,1.25562472028035232091380000070,False
671,672,1,1,1.25527064551946234995517318938,672,1.25527064551946234995517318938,False
673,674,1,1,1.25550667817047378260973382876,674,1.25550667817047378260973382876,False
675,676,0,2,1.25561022524404125917549129247,672,1.25561022524404125917549129247,False
677,678,1,1,1.25534325656221878981070149735,678,1.25534325656221878981070149735,False
679,680,1,1,1.25567610948586219270123087027,680,1.25567610948586219270123087027,False
681,682,1,1,1.25514337704819754193068344486,682,1.25514337704819754193068344486,False
683,684,1,1,1.25563969908308310558542855745,684,1.25563969908308310558542855745,False
685,686,1,1,1.25491302248156001800911654579,686,1.25491302248156001800911654579,False
687,688,1,1,1.25553922398538266138420741786,688,1.25553922398538266138420741786,False
689,690,1,1,1.25555966358486813971583058078,690,1.25555966358486813971583058078,False
691,692,1,1,1.25539175014082091452423225141,692,1.25539175014082091452423225141,False
693,694,0,2,1.25566351976751292783932228961,690,1.25566351976751292783932228961,False
695,696,1,1,1.25520701770568332437873409401,696,1.25520701770568332437873409401,False
697,698,1,1,1.25564937791881134570008384745,698,1.25564937791881134570008384745,False
699,700,0,2,1.25499138821882715734262589192,696,1.25499138821882715734262589192,False
701,702,1,1,1.25556650305147335223696450397,702,1.25556650305147335223696450397,False
703,704,1,1,1.25549272172125196409645738293,704,1.25549272172125196409645738293,False
705,706,1,1,1.25543468327393559089392970726,706,1.25543468327393559089392970726,False
707,708,1,1,1.25564416195005799657063392537,708,1.25564416195005799657063392537,False
709,710,1,1,1.25526466070910833806829076753,710,1.25526466070910833806829076753,False
711,712,1,1,1.25565381530810298267157197618,712,1.25565381530810298267157197618,False
713,714,0,2,1.25506324577739834610224944492,706,1.25506324577739834610224944492,False
715,716,1,1,1.25558874765558075486369102500,716,1.25558874765558075486369102500,False
717,718,0,2,1.25539931381702499096344274954,714,1.25539931381702499096344274954,False
719,720,1,1,1.25547237896571822212828195378,720,1.25547237896571822212828195378,False
721,722,1,1,1.25561721563963862372006866610,722,1.25561721563963862372006866610,False
723,724,0,2,1.25531669262736257477722163670,720,1.25531669262736257477722163670,False
725,726,1,1,1.25565297892123867598017664169,726,1.25565297892123867598017664169,False
727,728,0,2,1.25512903423882044349690110465,720,1.25512903423882044349690110465,False
