a,d,sign,m,deg_P,n_factors,M_P,deg_smallest_factor,M_smallest_factor,in_db
2,5,-1,61,62,1,1.348662062747703133456155,62,1.348662062747703133456155,False
2,5,-1,63,64,1,1.315979222118411358872657,64,1.315979222118411358872657,False
2,5,-1,65,66,1,1.342596530036275489309752,66,1.342596530036275489309752,False
2,5,-1,67,68,1,1.328186849245851775037777,68,1.328186849245851775037777,False
2,5,-1,69,70,1,1.334633960761480465075093,70,1.334633960761480465075093,False
2,5,-1,71,72,2,1.335730405374243621391871,68,1.335730405374243621391871,False
2,5,-1,73,74,2,1.325824509915752211630079,70,1.325824509915752211630079,False
2,5,-1,75,76,1,1.334576787072110033071900,76,1.334576787072110033071900,False
2,5,-1,77,78,1,1.316724716983981785281960,78,1.316724716983981785281960,False
2,5,-1,79,80,1,1.340583070274391560435368,80,1.340583070274391560435368,False
2,5,-1,81,82,1,1.321459041208222267578719,82,1.321459041208222267578719,False
2,5,-1,83,84,1,1.341016591293499003936844,84,1.341016591293499003936844,False
2,5,-1,85,86,1,1.329803306912470204462149,86,1.329803306912470204462149,False
2,5,-1,87,88,1,1.337584943595188668491347,88,1.337584943595188668491347,False
2,5,-1,89,90,1,1.338196362349969334559600,90,1.338196362349969334559600,False
2,5,-1,91,92,1,1.332481228190749173086564,92,1.332481228190749173086564,False
2,5,-1,93,94,1,1.338680614574160029099381,94,1.338680614574160029099381,False
2,5,-1,95,96,2,1.326512937765735423632252,92,1.326512937765735423632252,False
2,5,-1,97,98,2,1.336316401550756665521519,94,1.336316401550756665521519,False
2,5,-1,99,100,1,1.320100179493753299193800,100,1.320100179493753299193800,False
2,5,-1,101,102,1,1.332457120280103876790931,102,1.332457120280103876790931,False
2,5,-1,103,104,1,1.322870623229431177990669,104,1.322870623229431177990669,False
2,5,-1,105,106,1,1.334995608738555875199100,106,1.334995608738555875199100,False
2,5,-1,107,108,1,1.336301942174104708389864,108,1.336301942174104708389864,False
2,5,-1,109,110,1,1.333786655980053878385321,110,1.333786655980053878385321,False
2,5,-1,111,112,1,1.338808408732465569236854,112,1.338808408732465569236854,False
2,5,-1,113,114,1,1.330525293123676276519644,114,1.330525293123676276519644,False
2,5,-1,115,116,1,1.338201072897166502681505,116,1.338201072897166502681505,False
2,5,-1,117,118,1,1.326325905831124810258783,118,1.326325905831124810258783,False
2,5,-1,119,120,2,1.335969928603251195791549,116,1.335969928603251195791549,False
2,5,-1,121,122,2,1.321609365973867343788942,118,1.321609365973867343788942,False
2,5,-1,123,124,1,1.332766145371523885103931,124,1.332766145371523885103931,False
2,5,-1,125,126,1,1.331411409834220255881393,126,1.331411409834220255881393,False
2,5,-1,127,128,1,1.328948809090271915391313,128,1.328948809090271915391313,False
2,5,-1,129,130,1,1.334387055168586452685535,130,1.334387055168586452685535,False
2,5,-1,131,132,1,1.330302920229274150306394,132,1.330302920229274150306394,False
2,5,-1,133,134,1,1.337188761670331598775180,134,1.337188761670331598775180,False
2,5,-1,135,136,1,1.328665580500827727178316,136,1.328665580500827727178316,False
2,5,-1,137,138,1,1.336721600875282008176611,138,1.336721600875282008176611,False
2,5,-1,139,140,1,1.325750113078281014923986,140,1.325750113078281014923986,False
2,5,-1,141,142,1,1.334928580540783571317868,142,1.334928580540783571317868,False
2,5,-1,143,144,2,1.333475106039890347014267,140,1.333475106039890347014267,False
2,5,-1,145,146,2,1.332347495133424855825060,142,1.332347495133424855825060,False
2,5,-1,147,148,1,1.334360061684010250672844,148,1.334360061684010250672844,False
2,5,-1,149,150,1,1.329254418014461448032952,150,1.329254418014461448032952,False
2,5,-1,151,152,1,1.333435884128355713785182,152,1.333435884128355713785182,False
2,5,-1,153,154,1,1.325818343521320602528152,154,1.325818343521320602528152,False
2,5,-1,155,156,1,1.334186729303860224649200,156,1.334186729303860224649200,False
2,5,-1,157,158,1,1.326644984141286363552450,158,1.326644984141286363552450,False
2,5,-1,159,160,1,1.334831293569450413828630,160,1.334831293569450413828630,False
2,5,-1,161,162,1,1.333541340423267914545079,162,1.333541340423267914545079,False
2,5,-1,163,164,1,1.333614296273471641782847,164,1.333614296273471641782847,False
2,5,-1,165,166,1,1.335287106605790517872029,166,1.335287106605790517872029,False
2,5,-1,167,168,2,1.331602672897619006359383,164,1.331602672897619006359383,False
2,5,-1,169,170,2,1.335107619254074665685900,166,1.335107619254074665685900,False
2,5,-1,171,172,1,1.329104009974803746354583,172,1.329104009974803746354583,False
2,5,-1,173,174,1,1.333938921701938632281546,174,1.333938921701938632281546,False
2,5,-1,175,176,1,1.326278792425434514943746,176,1.326278792425434514943746,False
2,5,-1,177,178,1,1.332146888113572819837975,178,1.332146888113572819837975,False
2,5,-1,179,180,1,1.329796864832886193041890,180,1.329796864832886193041890,False
