N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
604,1.25571986629119648769183917925863970598111187345264480652674055420708592607028520362604479694110590629750425345897277907,2.858286e-04,3.561291e-04,41,522,80,2
606,1.25513252076993533851305522896857403491058166416857036721252888792967621232675474702956419882642608389556283249185640094,3.015170e-04,5.873455e-04,40,526,80,0
608,1.25569321958430613899483755826750614969182406328665020955239923525360072870678691148716149524414921365813383966095689428,2.591819e-04,5.606988e-04,41,526,80,2
610,1.25486434687739401865936978271057834823055638344646907148775057889869581704912387501336285332886267309962537602686099621,5.696908e-04,8.288727e-04,40,530,80,0
612,1.25558502252948744445418695504686920481646583557404210844927613332411208516986958925573804979960940903447919954382882427,1.509848e-04,7.206757e-04,41,530,80,2
614,1.25553502787952536378072677745759645875523223135448232957239932016158698015341882988665318406038458455955991046137171074,1.009902e-04,4.999465e-05,42,530,84,0
616,1.25541839128972766304743425300616618623961844138818400306170548522948790352594579199683608544643484212306114282893006315,1.564644e-05,1.166366e-04,41,534,80,2
618,1.25569794650476726217862046710257468097219440629864842562650650275139395102527308997800630059482026292437318142240645256,2.639088e-04,2.795552e-04,42,534,84,0
620,1.25520612097105857891256150114518771441177116082282640345221581595941889241175835432629543873538671415805360803422292818,2.279168e-04,4.918255e-04,41,538,80,2
622,1.25569960352123892741328638648934327409109432386737296655429433918118683229533232309086331899819026162573620910903169432,2.655658e-04,4.934826e-04,42,538,84,0
624,1.25495642047242829658094862674372471447513469525438798406649236662486685339206963655056790929235843815000082066919884585,4.776173e-04,7.431830e-04,41,542,80,2
626,1.25561332493861182920060328617912349125684303269823849064957171020165814245733159448666881708563697913112046522820432636,1.792872e-04,6.569045e-04,42,542,84,0
628,1.25543435800961402667047565007918976336471537914625446491005213514200212384782860072646646589930282755513607393834123486,3.202824e-07,1.789669e-04,43,542,84,2
630,1.25546612498305666478284437521941386897884500654989988725601789998334324834447599019084858984733152942599768907447399003,3.208726e-05,3.176697e-05,42,546,84,0
632,1.25566746565019196978318683980439852663163262470993201499152541082640940048485615353801045379337284315065962583091584632,2.334279e-04,2.013407e-04,43,546,84,2
634,1.25527214397489193593925812751997807610541807163174064613133796914930991942906931027944625391734789917131737736090148983,1.618938e-04,3.953217e-04,42,550,84,0
636,1.25569963566472689429372005387323482821136475001132531681024804218750216341599780350882608238191361572829460054711134116,2.655979e-04,4.274917e-04,43,550,84,2
638,1.25504016602645990085478997478431755819838177861382016773733924833771537815789258737273903544826214057928321503663378502,3.938717e-04,6.594696e-04,42,554,84,0
640,1.25563550587835938870522626906158653133226169533159854978543272350473182442918554269116794712605229553700702587079783268,2.014682e-04,5.953399e-04,43,554,84,2
